"participle","order","country","edited"
"geboren","green","BE",TRUE
"gewonnen","red","NL",TRUE
"gefilmd","red","BE",TRUE
"gestolen","red","NL",TRUE
"geobsedeerd","green","BE",TRUE
"gekregen","green","BE",TRUE
"begrepen","green","BE",TRUE
"beweerd","red","BE",FALSE
"gehad","red","NL",TRUE
"geïnformeerd","green","BE",TRUE
"gezeten","red","NL",TRUE
"gecontracteerd","green","NL",TRUE
"weggebracht","red","NL",TRUE
"gebracht","red","BE",TRUE
"gezet","red","BE",TRUE
"gestaan","red","NL",TRUE
"gegeven","red","NL",TRUE
"gedreven","red","BE",TRUE
"afgeremd","red","BE",TRUE
"overwogen","red","NL",TRUE
"meegevallen","red","BE",FALSE
"gekocht","red","BE",TRUE
"gezwegen","red","BE",TRUE
"gehouden","red","BE",TRUE
"gedaan","red","BE",TRUE
"gemaakt","red","NL",TRUE
"betaald","red","BE",TRUE
"beantwoord","red","BE",TRUE
"gesteld","green","BE",TRUE
"gepost","green","BE",FALSE
"gewonnen","green","BE",FALSE
"uitgebreid","green","NL",FALSE
"gevraagd","green","BE",TRUE
"begonnen","green","NL",TRUE
"geprobeerd","green","BE",TRUE
"geworden","red","NL",FALSE
"vermaakt","red","NL",TRUE
"gemaakt","red","BE",TRUE
"geweest","red","NL",TRUE
"genoemd","red","NL",TRUE
"vergoed","red","BE",TRUE
"uitgeput","red","BE",FALSE
"betrapt","green","BE",TRUE
"geweest","red","NL",TRUE
"bezocht","green","NL",TRUE
"onderschept","green","BE",TRUE
"volgehouden","green","NL",FALSE
"verloren","green","BE",FALSE
"begrepen","red","BE",TRUE
"beloofd","red","NL",TRUE
"gedirigeerd","green","BE",TRUE
"geweest","red","NL",TRUE
"gezien","green","NL",TRUE
"vertrokken","green","BE",FALSE
"gericht","red","NL",TRUE
"gekeken","red","NL",TRUE
"gebruikt","red","BE",TRUE
"tewerkgesteld","red","BE",TRUE
"afgelopen","green","NL",TRUE
"opgenomen","green","BE",TRUE
"gegeten","green","BE",TRUE
"geworden","red","BE",TRUE
"verteerd","green","BE",TRUE
"vertrokken","red","BE",TRUE
"gevoetbald","red","BE",TRUE
"gestopt","green","NL",TRUE
"opgebouwd","red","BE",TRUE
"gegeten","red","NL",TRUE
"gelezen","red","NL",FALSE
"ontvangen","red","NL",TRUE
"gedwongen","green","BE",TRUE
"vervangen","red","NL",TRUE
"geschreven","green","NL",TRUE
"voorbestemd","red","NL",TRUE
"gezegd","red","NL",TRUE
"geselecteerd","red","NL",TRUE
"vermoord","green","NL",TRUE
"geworden","red","BE",TRUE
"begrepen","red","NL",TRUE
"gegooid","red","NL",TRUE
"ontgoocheld","green","BE",TRUE
"verteld","red","NL",TRUE
"ondersteund","green","NL",TRUE
"gecontacteerd","green","BE",TRUE
"geslaagd","green","BE",TRUE
"geweest","red","BE",TRUE
"geraakt","red","BE",TRUE
"gegeven","red","BE",FALSE
"verloren","red","BE",TRUE
"ontdekt","red","BE",TRUE
"geraakt","red","BE",TRUE
"genoemd","green","BE",TRUE
"gemaakt","green","BE",FALSE
"voorbereid","red","NL",TRUE
"ingelaten","red","BE",TRUE
"gevonden","green","BE",TRUE
"geregeld","green","BE",TRUE
"opgeofferd","red","NL",TRUE
"ontvangen","green","NL",TRUE
"getrouwd","green","BE",TRUE
"ondergedompeld","red","NL",FALSE
"geholpen","green","BE",TRUE
"gered","red","BE",TRUE
"geworden","green","BE",FALSE
"gezien","green","NL",TRUE
"overleden","green","BE",TRUE
"genomen","red","BE",TRUE
"gereden","green","NL",TRUE
"uitgezet","red","NL",TRUE
"gekregen","red","NL",TRUE
"ingelicht","green","BE",TRUE
"afgeluisterd","red","NL",TRUE
"geworden","green","NL",TRUE
"aangevallen","green","BE",TRUE
"begonnen","green","BE",TRUE
"begrepen","green","NL",FALSE
"verwaarloosd","red","BE",TRUE
"gegaan","red","NL",FALSE
"opgevoerd","red","BE",TRUE
"bijgestaan","red","NL",TRUE
"overtuigd","red","BE",TRUE
"geplukt","red","BE",TRUE
"geweest","red","BE",TRUE
"gehad","red","NL",TRUE
"uitgelaten","red","BE",TRUE
"gehad","green","BE",TRUE
"beschuldigd","green","BE",TRUE
"gedaan","red","NL",TRUE
"opgesplitst","green","BE",TRUE
"bestudeerd","red","BE",FALSE
"gezegd","red","BE",TRUE
"gehad","red","NL",TRUE
